Word,Difficulty Level,Vowel Harmony Rule,Arabic Translation,Usage Sentence (Turkish),Usage Sentence (Arabic)
ılık,B1,I-type (back),دافئ,Ilık bir gün,يوم دافئ
gün,A1,E-type (front),يوم,Güzel bir gün,يوم جميل
temmuz,A1,I-type (back),يوليو,Temmuz çok sıcak.,يوليو حار جداً.
çiy,B2,E-type,ندى,Çiçeklerde çiy var,يوجد ندى على الزهور
tuz,A1,I-type (back),ملح,Yemekte tuz var.,يوجد ملح في الطعام.
tuz,A1,I-type (back),ملح,Yemekte tuz var.,يوجد ملح في الطعام.
çanta,A2,I-type (back),حقيبة يد,Çantamda anahtar var.,يوجد مفتاح في حقيبة يدي
bardak,A2,I-type (back),كوب,Bardakta su var.,يوجد ماء في الكوب
masa,A1,I-type (back),مكتب,Masada kitap var.,يوجد كتاب على المكتب.
masa,A1,I-type (back),طاولة,Masada kitap var.,يوجد كتاب على الطاولة.
masa,A1,I-type (back),طاولة,Masada kitap var.,يوجد كتاب على الطاولة
çekmece,B1,E-type (front),درج,Çekmecede kalem var.,يوجد قلم في الدرج
virüs,B2,E-type (front),فيروس,Bilgisayarda virüs var.,يوجد فيروس في الحاسوب.
donanım,B2,I-type (back),عتاد,Donanım arızası var.,يوجد عطل في العتاد
alın,B2,I-type (back),جبهة,Alnında ter var.,يوجد عرق على جبهته
kuş,A1,I-type (back),طائر,Bahçede kuşlar var.,يوجد طيور في الحديقة.
buzdolabı,B1,I-type (back),ثلاجة,Buzdolabında yemek var.,يوجد طعام في الثلاجة
dal,A1,I-type (back),غصن,Dalda kuş var.,يوجد طائر على الغصن.
dal,A1,I-type (back),غصن,Dalda kuş var.,يوجد طائر على الغصن.
balık,A2,I-type (back),سمك,Akvaryumda balık var.,يوجد سمك في الحوض
göl,A1,I-type (back),بحيرة,Gölde balık var.,يوجد سمك في البحيرة.
göl,A1,I-type (back),بحيرة,Gölde balık var.,يوجد سمك في البحيرة.
kekik,A2,E-type (front),زعتر,Kekte kekik var.,يوجد زعتر في الكعكة.
ders,A1,E-type (front),درس,Matematik dersi var.,يوجد درس رياضيات
masa,A1,I-type (back),مكتب,Masamda bilgisayar var.,يوجد حاسوب على مكتبي
çöl,A2,I-type (back),صحراء,Çölde deve var.,يوجد جمل في الصحراء.
alçak,A2,I-type (back),منخفض,Alçak bir duvar var.,يوجد جدار منخفض.
seksen,A1,E-type (front),ثمانون,Seksen öğrenci var.,يوجد ثمانون طالباً.
sınıf,A1,I-type (back),فصل,Sınıfta otuz öğrenci var.,يوجد ثلاثون طالباً في الفصل.
iki,A1,E-type (front),اثنان,İki elma var.,يوجد تفاحتان.
ev,A1,E-type (front),بيت,Güzel bir ev var.,يوجد بيت جميل.
yeşil,A1,E-type (front),أخضر,Yeşil yapraklar var.,يوجد أوراق خضراء.
bin,A1,E-type (front),ألف,Bin tane var.,يوجد ألف قطعة.
meydan,A2,I-type (back),ميدان,Meydanda insanlar var.,يوجد أشخاص في الميدان.
konferans salonu,B1,Mixed,قاعة المحاضرات,Konferans salonunda toplantı var.,يوجد اجتماع في قاعة المحاضرات.
yavaş,A2,I-type (back),بطيء,Yavaş yürüyor.,يمشي ببطء
kasım,A1,I-type (back),نوفمبر,Kasım rüzgarlı geçiyor.,يمر نوفمبر بالرياح.
jeoloji,C1,E-type (front),جيولوجيا,Jeoloji araştırması yapıyor.,يقوم ببحث جيولوجي
ibadet,B2,I-type (back),عبادة,İbadet yapıyor.,يقوم بالعبادة
köşe,B1,I-type (back),زاوية,Odanın köşesinde duruyor.,يقف في زاوية الغرفة.
